id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91628267,Software Engineer In Test Automation Testing (junior- senior level),PT Dwi Cermat Indonesia,,"Job Description   Create detailed, comprehensive and well-structured test plans and test cases Design, develop and execute automation scripts using open source tools that is fast, scalable, easy to monitor and maintain Create code that's easy to read Able to perform Test Automation and set up frameworks on multiple application platforms like Web, Mobile - Android and API Work with the team to maintain, improve and clean your code Review each other's code and learn the software engineering best practices Work with deployments teams and resolve issues for the system Build and manage automated build/test/deployment environments  Qualifications   A formal degree in Computer Science is preferred, but candidates with demonstrable skills and experience are equally valued 5 years of overall experience in software testing for Senior level, with strong focus on automation. Hands-on experience in Web, Mobile, and API automation using tools like Selenium, Appium, and REST-based tools. Strong programming skills in at least one language (Java, Python, or JavaScript) with the ability to write clean and maintainable automation code. Experience working with automation frameworks such as WebdriverIO and BDD frameworks (e.g., Cucumber), including contributing to framework improvements. Good understanding of SDLC and STLC, with experience in Agile development environments. Experience in designing test strategies, writing test cases (positive, negative, edge cases), and identifying automation opportunities. Practical exposure to CI/CD pipelines (e.g., Jenkins, GitHub Actions), including integrating and maintaining automation suites. Experience in maintaining and scaling automation suites, ensuring stability and reliability of test execution. Ability to take ownership of features/modules and collaborate with cross-functional teams",https://id.jobstreet.com/id/job/91628267,,web,indonesia,"['agile', 'java', 'android', 'javascript', 'scala', 'python', 'r', 'git']",8,2026-04-20T20:49:42.097840
91627716,System Developer,PT IDX Solusi Teknologi Informasi,,"PT IDX Solusi Teknologi Informasi (IDXSTI) was established in November 2018 as a subsidiary of the Indonesia Stock Exchange (IDX) and other Self-Regulatory Organizations (SROs), including KPEI/IDClear and KSEI. IDXSTI focuses on providing Information Technology (IT) services for the Indonesian capital market and other financial industries. Our objective is to deliver the best IT solutions to support the growth and development of Indonesia’s capital market.  At IDXSTI, we are dedicated to pushing the boundaries of innovation in our industry. We are looking for a results-driven and integrated team player to join our Team.   Key Responsibilities:  Design, develop, and maintain applications and system modules that support IDXSTI's digital products and services.  Implement clean, efficient, and maintainable code aligned with best practices and internal standards.  Participate in requirement analysis, system design, and architecture discussions with Product, BA, and Engineering teams.  Build and integrate systems using internal and external APIs, including integration with market data or financial platforms.  Ensure high performance, stability, and security through testing, code review, and optimization.  Prepare and maintain technical documentation including system design, API specs, and deployment guides.  Collaborate with QA Engineers to support testing and ensure high-quality releases.  Troubleshoot issues in development, staging, and production environments.  Contribute to continuous improvement initiatives and adoption of new technologies.  Support deployment, monitoring, and maintenance activities with the infrastructure team.     Requirements:  Bachelor's degree in Computer Science, Software Engineering, Information Systems, or related fields.  Min. 1 year of experience in software development (fresh graduates with strong portfolios are welcome).  Proficiency in at least one of the following: Java, Go, Python, C#, or Node.js.  Strong understanding of API development (REST/GraphQL), microservices, and modern application architectures.  Experience with SQL/NoSQL databases and data modeling.  Familiarity with DevOps tools and CI/CD workflows (GitLab Cl, Jenkins, Docker) is a plus.  Strong analytical, problem-solving, and debugging skills.  Able to work collaboratively in a dynamic environment.  Good communication skills and ability to produce clear technical documentation.  Candidates with knowledge of Brokerage Office Systems (BOFIS), trading workflows, or capital market back-office processes will have a significant advantage.",https://id.jobstreet.com/id/job/91627716,,web,indonesia,"['java', 'c#', 'sql', 'docker', 'python', 'r', 'ios', 'git']",8,2026-04-20T20:49:47.578885
91627676,QA Engineer (Enterprise Efficiency) - Sea Labs,Shopee Internasional Indonesia,,"The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from all over the world, striving to build the best systems with the most suitable technologies. Our engineers do not merely solve problems at hand; We build foundations for a long-lasting future. We don't limit ourselves on what we can or can't do; we take matters into our own hands even if it means drilling down to the bottom layer of the computing platform. Shopee's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience it first-hand if you love technologies as much as we do.  About the Team:  About Sea Labs Indonesia  Sea Labs is at the core of the Sea platforms development, supporting diverse business lines from e-commerce, supply chain, games, payment and finance, among many others. The strong growth and unique positioning of Sea's e-commerce business, Shopee, spurred the launch of Sea Labs Indonesia. Since its inception, the group of passionate engineers have charted the course to drive the best experience for our users in Indonesia, many of which solutions are even adapted to other markets in the region.  Sea's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience world-class projects first-hand if you love technologies as much as we do. Together with our passionate and driven teams, you'll get to develop your skills, build on industry knowledge and collaborate with global teams in a dynamic space. Browse our Sea Labs Indonesia team openings to see how you can make an impact with us.  About team  The Enterprise Efficiency team is dedicated to transforming workplace productivity through seamless integration of enterprise communication, open platform capabilities, and management systems covering HR, finance, and operational tools. Our products power the daily workflows of thousands of employees across Sea group companies.  Our product lines include SeaTalk (enterprise communication and collaboration platform) and PFMS (People and Financial Management System). We are currently driving enterprise initiatives where we actively leverage AI-powered tools and LLM integrations to enhance product capabilities and accelerate engineering workflows.  Job Description:  Write and execute test cases based on PRD requirements and technical design documents, covering functional, regression, and edge-case scenarios. Perform manual testing across web and mobile platforms, ensuring product quality before each release. Write and maintain automated test scripts for API and E2E test suites under the guidance of the QA Lead. Participate in test case review sessions and contribute to improving test coverage and test design quality. Log, track, and verify bug fixes with clear reproduction steps, expected vs. actual results, and severity classification. Collaborate with frontend and backend engineers to understand feature implementations and identify testability gaps early. Support regression testing cycles during release sprints, ensuring timely completion without compromising coverage. Participate in UAT coordination with product managers and stakeholders. Contribute to QA process improvements including test documentation standards, bug triage workflows, and environment setup procedures. Coordinate with cross-site teams (Singapore, Shenzhen) on shared testing efforts during multi-team releases.  Requirements:  1–4 years of experience in software QA or quality engineering. Solid understanding of software testing fundamentals: test case design, boundary value analysis, equivalence partitioning, and regression testing. Hands-on experience with manual testing across web applications; mobile testing experience is a plus. Basic to intermediate programming skills in at least one of: Python, Java, or JavaScript/TypeScript — able to read code, write simple test scripts, and debug test failures. Familiarity with at least one test automation framework (Selenium, Playwright, Cypress, pytest, or similar) — or strong willingness and aptitude to learn. Experience with API testing tools (Postman, REST client) and basic understanding of REST API concepts. Familiarity with bug tracking and test management tools (Jira, TestRail, or similar). Proficient in using AI-assisted tools (e.g., ChatGPT, Claude, GitHub Copilot) to accelerate test case generation, debugging, and documentation workflows. Detail-oriented with strong analytical and problem-solving skills. Good communication skills — able to write clear bug reports, participate in cross-functional discussions, and flag risks to the team proactively. Good product sense and curiosity in defining best shape for the product. Self-motivated with a willingness to learn test automation and grow into a quality engineering role.",https://id.jobstreet.com/id/job/91627676,,web,indonesia,"['java', 'javascript', 'typescript', 'python', 'r', 'ios', 'git']",7,2026-04-20T20:49:52.800444
91627595,Junior Programmer,PT Oktri Syarief Grup,,"Pendidikan D3/S1 Informatika atau Sistem Informasi  Menguasai bahasa pemrograman (JavaScript & PHP)  Memahami database Mysql/PostgreSql & API  Mampu melakukan troubleshooting & problem solving  Dapat bekerja mandiri maupun dalam tim  Bertanggung jawab dan terbiasa dengan deadline",https://id.jobstreet.com/id/job/91627595,,web,indonesia,"['java', 'php', 'sql', 'javascript', 'postgresql', 'r', 'mysql']",7,2026-04-20T20:49:58.129115
91584877,Full Stack Software Engineer (CAD Rooms Cloud PDM),Cavalry Collective Pte. Ltd,,"About the Role  We are looking for a talented Full Stack Software Engineer to join our engineering team. In this role, you will design, build, and maintain scalable web applications and services across the entire technology stack. You will collaborate closely with product managers, designers, and fellow engineers to deliver high-quality software that powers our platform and delights our users.   Responsibilities  Design, develop, and maintain full stack applications using TypeScript across frontend and backend services.  Build and manage containerized applications and development environments with Docker.  Design, implement, and optimize PostgreSQL database schemas, queries, and migrations.  Collaborate with cross-functional teams to translate product requirements into robust, scalable technical solutions.  Write clean, well-tested, and well-documented code following engineering best practices.  Participate in code reviews and contribute to improving team development processes and tooling.  Troubleshoot and resolve production issues, ensuring high availability and performance of services.  Contribute to architectural decisions and help shape the technical direction of the platform.   Required Qualifications  3+ years of professional experience in full stack software development.  Strong proficiency in TypeScript for both frontend (React, Next.js, or similar) and backend (Node.js) development.  Hands-on experience with Docker for containerization, orchestration, and local development workflows.  Solid experience designing and working with PostgreSQL, including schema design, query optimization, and migrations.  Familiarity with RESTful APIs and/or GraphQL.  Experience with version control systems (Git) and CI/CD pipelines.  Strong problem-solving skills and a passion for writing high-quality, maintainable code.  Excellent communication and collaboration skills in a team environment.   Nice to Have  Experience with advanced PostgreSQL features such as trigger functions, Row Level Security (RLS), stored procedures, and database access policies.  Experience with Deno as an alternative or complement to Node.js for backend development.  Experience with AWS services (EC2, S3, Lambda, RDS, ECS, or similar).  Proficiency or working knowledge of Golang for building performant backend services or microservices.  Proficiency or working knowledge of Rust, particularly for maintaining and developing our desktop application built with Tauri.  Experience with 3D-related engineering, such as WebGL, Three.js, Unity, Unreal Engine, or real-time rendering pipelines.  Familiarity with infrastructure-as-code tools (Terraform, CloudFormation) and Kubernetes.  Experience with performance profiling, monitoring, and observability tools.",https://id.jobstreet.com/id/job/91584877,"Rp 25,000,000 – Rp 35,000,000 per month",web,indonesia,"['kubernetes', 'rust', 'aws', 'golang', 'sql', 'scala', 'docker', 'typescript', 'postgresql', 'react', 'r', 'git']",12,2026-04-20T20:50:02.755450
91627364,IT Development Intern,PT Adira Dinamika Multi Finance Tbk,,"Detail Pekerjaan:  Membantu dalam pengkodean, pengujian, dan debugging aplikasi atau sistem yang sedang dikembangkan oleh tim.  Membuat dan memperbarui dokumentasi teknis untuk perangkat lunak atau sistem.  Menulis panduan pengguna dan manual teknis.  Melakukan query SQL untuk membuat laporan dan checking data.  Kualifikasi:  Mahasiswa semester akhir atau fresh graduate dari jurusan Teknik Informatika, Ilmu Komputer, Sistem Informasi, atau jurusan terkait lainnya.  Penguasaan Bahasa Pemrograman seperti Java dan JavaScript, beserta familiar dengan RDBMS (Relational Database Management System).  Komitmen pada jadwal kerja yang telah ditentukan oleh perusahaan selama periode magang.  Mampu melakukan dokumentasi teknis dan familiar dalam teknologi aplikasi mobile menjadi nilai tambah.",https://id.jobstreet.com/id/job/91627364,,web,indonesia,"['java', 'sql', 'javascript', 'r']",4,2026-04-20T20:50:08.525642
91626470,Spesialis Search Engine Optimization (SEO) - WFO,PT Penjuru Bisnis Indonesia,,"Requirements  * Memiliki pengetahuan mengenai SEO dan SEM  * ⁠Memiliki portofolio website yang masih live/ online (sertakan URL dalam CV)  * Terbiasa membangun website dengan wordpress  * Familiar dengan server management seperti cPanel – web develop  * Memiliki skill coding PHP, CSS, HTML, Javascript & Codeigniter  * Memiliki skill design grafis seperti adobe photoshop/ corel draw/ AI  * Memiliki pengetahuan ads strategy ( google ads, meta ads dll )  * Available untuk WFO system",https://id.jobstreet.com/id/job/91626470,Rp 5.000.000 – Rp 7.500.000 per month,web,indonesia,"['java', 'php', 'javascript', 'r']",4,2026-04-20T20:50:14.072270
91626293,Senior Full Stack Engineer,PT INTAN PARIWARA,,"Kualifikasi:  Gelar Sarjana di bidang Teknologi Informasi, Ilmu Komputer, atau bidang terkait  Pengalaman atau pengetahuan praktis dalam pengembangan menggunakan salah satu bahasa pemrograman backend yang populer (seperti Python, Java, atau Node.js)  Pengalaman atau pengetahuan praktis dalam pengembangan menggunakan salah satu bahasa pemrograman frontend yang populer (seperti JavaScript atau TypeScript)  Pengalaman atau pengetahuan praktis dalam pengembangan aplikasi mobile menggunakan salah satu bahasa pemrograman mobile yang populer (seperti Flutter, Swift, atau Kotlin)  Kemampuan analisis dan pemecahan masalah yang tinggi  Kemampuan komunikasi yang baik dan kemampuan bekerja secara tim  Minat yang kuat dalam belajar dan berkembang dalam pengembangan aplikasi  Pengalaman kerja sebelumnya dalam pengembangan aplikasi akan menjadi nilai tambah  Pengetahuan atau pengalaman praktis dengan framework seperti Django REST Framework, FastAPI, Flutter, atau Next.js akan menjadi nilai tambah  Memiliki sertifikasi dalam pemrograman aplikasi akan menjadi nilai tambah  Bersedia untuk ditempatkan di Yogyakarta",https://id.jobstreet.com/id/job/91626293,Rp6.000.000 – Rp7.000.000 per month,web,indonesia,"['swift', 'fastapi', 'java', 'kotlin', 'javascript', 'flutter', 'typescript', 'python', 'django', 'r']",10,2026-04-20T20:50:19.931067
91626034,Creative Staff (Video Editor/Graphic Designer/Videographer),World Harvest,,"Job Purpose  1. Menjadi support system untuk kebutuhan creative ministry (mencakup: design grafis, video, photo dan web developer)  2. Membangun tim (training, pembuatan manual, dan sebagainya)  Job Description  1. Membuat ataupun mensupervisi team dalam pengadaan SOP, Script (konsep) dan produk dari creative ministry  2. Memastikan produksi berjalan dengan baik (pre - prod - post) termasuk pengaturan di lapangan (berhubungan dengan komunitas dan departemen)  3. Melakukan maintaining creative files di google drive (mencakup: design grafis, video, photo dan web developer)  4. Terlibat dalam pengembangan sosial media dan media marketing lainnya  5. Menghasilkan produk berikut dengan konsistensi dan sesuai standard manual",https://id.jobstreet.com/id/job/91626034,"Rp 5,000,000 – Rp 5,500,000 per month",web,indonesia,['r'],1,2026-04-20T20:50:25.611102
91625924,IT dan Kreatif,PT Sandpasifik Jaya Abadi,,"Lulusan S1 Teknik Informatika dan Kretif, Sistem Informasi diutamakan bidang website  Membuat dan mengelola situs perusahaan, menguasai HTML, CSS, UX research, wireframing, prototyping, hingga aplikasi Figma atau Adobe XD.  Harus memahami tentang server, hosting, API, dan bahasa pemrograman seperti Java Script, Python, atau PHP.  Bisa membuat coding responsive design  Mampu mebbuat web design dan web development  Berpengalaman di bidang periklanan atau posisi sejenis minimal 4 tahun.  Memiliki pemahaman yang kuat tentang proses kreatif, pemasaran, desain grafis, tipografi, copywriting/storytelling, fotografi, videografi, editing, dan konsep kreatif secara umum.  Kreativitas yang tinggi, kemampuan berpikir konseptual, dan ketajaman visual.  Pengetahuan tentang software dan alat desain terkini.  Dapat bekerja dengan baik under pressure dan memiliki passion untuk industri kreatif.",https://id.jobstreet.com/id/job/91625924,Rp 5.000.000 – Rp 7.000.000 per month,web,indonesia,"['java', 'php', 'python', 'r']",4,2026-04-20T20:50:30.871496
